18 Summer Tour Dates,Name of Area Visted,FIPS,Visted in the Fall,Fall Dates
1-Aug,"SELMA, AL",1047,,
31-Jul,"BIRMINGHAM, AL",1073,,
1-Aug,"MONTGOMERY, AL",1101,,
,"TEMPE, AZ",4013,X,3-Nov
22-Jul,"OAKLAND, CA",6001,,
20-Jul,"LOS ANGELES, CA",6037,,
17-Jul,"PALMDALE/LITTLEROCK, CA",6037,,
21-Jul,"ORANGE COUNTY, CA",6059,X,4-Nov
12-Jul,"AURORA, CO",8005,,
13-Jul,"DENVER, CO",8031,,
12-Aug,"NEWTOWN, CT",9001,,
5-Aug,"WASHINGTON, DC",11001,,
26-Jul,"GAINESVILLE, FL",12001,X,5-Nov
29-Jul,"PANAMA CITY, FL",12005,,
7-Jul,"COCOA BEACH, FL",12009,,
29-Jun,"FORT LAUDERDALE, FL",12011,,
22-Jun,"PARKLAND, FL",12011,X,6-Nov
26-Jun,"PUNTA GORDA, FL",12015,,
27-Jul,"JACKSONVILLE, FL",12031,X,4-Nov
30-Jul,"PENSACOLA, FL",12033,,
6-Jul,"TAMPA, FL",12057,,
25-Jun,"FORT MEYERS, FL",12071,,
28-Jul,"TALLAHASSEE, FL",12073,X,5-Nov
24-Jun,"MIAMI, FL",12086,X,27-Oct
23-Jun,"MIAMI/HOMESTEAD, FL",12086,,
8-Jul,"ORLANDO, FL",12095,X,31-Oct
11-Jul,"KISSIMMEE, FL",12097,,
28-Jun,"WELLINGTON, FL",12099,,
10-Jul,"PALM HARBOR, FL",12103,,
12-Jul,"ST.PETERSBURG, FL",12103,,
6-Jul,"LAKELAND, FL",12105,,
27-Jun,"SARASOTA, FL",12115,X,30-Oct
15-Jul,"DAYTONA BEACH, FL",12127,,
29-Jul,"ATLANTA, GA",13121,X,28-Oct
30-Jul,"ROSWELL, GA",13121,X,28-Oct
16-Jun,"CHICAGO, IL",17031,,
21-Jun,"MARION, IA",19113,,
20-Jun,"SIOUX CITY, IA",19193,,
18-Jun,"KANSAS CITY, KS",20209,,
3-Aug,"BATON ROUGE, LA",22033,,
3-Aug,"LAFAYETTE, LA",22055,,
4-Aug,"NEW ORLEANS, LA",22071,,
6-Aug,"BALTIMORE, MD",24005,,
26-Jun,"MOORHEAD, MN",27027,,
24-Jun,"HENNEPIN COUNTY, MN",27053,,
25-Jun,"MINNEAPOLIS, MN",27123,X,26-Oct
24-Jun,"TWIN CITIES, MN",27123,,
2-Aug,"JACKSON, MS",28049,,
17-Jun,"STLOUIS, MO",29510,,
19-Jun,"OMAHA, NE",31055,,
16-Jul,"LAS VEGAS, NV",32003,,
9-Aug,"MORRISTOWN, NJ",34027,,
11-Jul,"ALBUQUERQUE, NM",35001,,
10-Aug,"NEW YORK, NY",36047,,
11-Aug,"QUEENS, NY",36081,,
1-Aug,"GREENSBORO, NC",37081,X,29-Oct
28-Jun,"BISMARCK, ND",38015,,
27-Jun,"STANDING ROCK, ND",38085,,
8-Aug,"PERKASIE, PA",42017,,
7-Aug,"PHILADELPHIA, PA",42101,,
31-Jul,"CHARLESTON, SC",45019,,
9-Jul,"SAN ANTONIO, TX",48029,,
7-Jul,"DALLAS, TX",48113,X,2-Nov
10-Jul,"EL PASO, TX",48141,,
8-Jul,"HOUSTON, TX",48201,X,1-Nov
14-Jul,"SALT LAKE CITY, UT",49035,,
3-Aug,"CHARLOTTESVILLE, VA",51003,,
4-Aug,"FAIRFAX, VA",51059,,
2-Aug,"BLACKSBURG, VA",51121,,
22-Jun,"MADISON, WI",55025,,
23-Jun,"MILWAUKEE, WI",55079,,
22-Jun,"JANESVILLE, WI",55105,,